evyear evjday evmonth evday evhour evmin evsec evmsec evla evlo evdp 
2009 3 1 3 12 37 49 974699 65.1163 -16.8536 0.62793 
2009 3 1 3 12 44 50 472400 65.1146 -16.8484 1.53613 
2009 3 1 3 12 58 33 194299 65.1247 -16.8538 0.999023 
2009 3 1 3 13 4 40 982700 65.1213 -16.8541 0.686523 
2009 3 1 3 13 4 44 113999 65.0294 -16.5023 1.91699 
2009 3 1 3 13 10 35 107399 65.1119 -16.8444 1.99512 
2009 3 1 3 13 50 49 664200 65.0809 -16.268 5.66211 
2009 3 1 3 13 53 44 167799 65.126 -16.8541 0.920898 
2009 3 1 3 13 54 57 584200 65.1237 -16.8439 0.813477 
2009 3 1 3 13 56 27 215199 65.1237 -16.8564 0.78418 
2009 3 1 3 13 56 30 172699 65.0367 -16.5584 3.78223 
2009 3 1 3 14 20 41 212200 65.1252 -16.8508 1.02832 
2009 3 1 3 15 14 24 957200 65.1241 -16.8505 0.930664 
2009 3 1 3 16 50 25 636700 65.1256 -16.8514 0.955078 
2009 3 1 3 16 52 34 25199 65.1343 -16.4003 3.87988 
2009 3 1 3 17 0 8 752980 65.1335 -16.4008 3.58691 
2009 3 1 3 18 28 20 801600 65.13 -16.3974 10.7158 
2009 3 1 3 18 54 6 169389 65.1236 -16.8551 0.793945 
2009 3 1 3 19 6 43 666800 65.1261 -16.8624 1.09668 
2009 3 1 3 20 32 35 896999 65.1827 -16.1801 36.248 
2009 3 1 3 21 37 10 607499 65.0763 -16.2521 5.03223 
2009 3 1 3 21 39 26 914600 65.1234 -16.8499 0.896484 
2009 4 1 4 0 30 22 134599 65.1197 -16.8793 2.57617 
2009 4 1 4 0 37 1 322940 65.121 -16.8667 3.20117 
2009 4 1 4 1 5 9 506779 65.1141 -16.8455 1.24316 
2009 4 1 4 1 42 46 31900 65.1311 -16.8421 1.10645 
2009 4 1 4 1 47 28 800599 65.1244 -16.8538 0.774414 
2009 4 1 4 1 47 31 466000 65.0192 -16.4936 4.7832 
2009 4 1 4 2 11 14 542299 65.1237 -16.856 0.920898 
2009 4 1 4 2 12 31 471800 65.1229 -16.85 1.0332 
2009 4 1 4 3 7 52 412599 65.1171 -16.8586 1.04785 
2009 4 1 4 3 12 43 915399 65.1275 -16.8502 1.02832 
2009 4 1 4 3 48 50 38100 65.1207 -16.8545 0.78418 
2009 4 1 4 4 4 38 648800 65.0151 -16.6724 2.47363 
2009 4 1 4 4 15 19 184999 65.1248 -16.8604 1.07715 
2009 4 1 4 4 24 9 913410 65.0861 -16.4398 4.05566 
2009 4 1 4 5 26 4 77099 65.0723 -16.2598 5.48633 
2009 4 1 4 6 34 15 544600 65.1328 -16.2716 1.53613 
2009 4 1 4 7 49 23 979800 65.1737 -16.2961 3.29395 
2009 4 1 4 8 8 46 910099 65.0782 -16.2594 5.28613 
2009 4 1 4 9 31 46 326000 65.0806 -16.2608 5.90137 
2009 4 1 4 11 35 35 386400 65.1248 -16.2949 0.823242 
2009 4 1 4 12 22 47 403500 65.0365 -16.303 20.999 
2009 4 1 4 13 46 53 260199 65.0899 -16.4162 3.90918 
2009 4 1 4 14 16 31 331800 65.0791 -16.2493 5.3252 
2009 4 1 4 14 17 56 323599 65.0732 -16.7885 3.2207 
2009 4 1 4 14 18 4 28710 65.0717 -16.7868 2.74707 
2009 4 1 4 15 33 7 6190 65.1635 -16.3862 4.76855 
2009 4 1 4 16 30 10 162599 65.0121 -16.6817 2.38574 
2009 4 1 4 17 30 55 934899 65.1085 -16.8678 1.59961 
2009 4 1 4 18 6 56 24299 65.0738 -16.2354 6.09668 
2009 4 1 4 19 10 39 961300 65.0769 -16.2608 5.48145 
2009 4 1 4 20 22 39 764899 65.091 -16.4149 4.12402 
2009 4 1 4 22 39 47 44600 65.1206 -16.8604 1.14551 
2009 4 1 4 22 41 36 400799 65.0816 -16.2553 5.80371 
2009 4 1 4 22 42 21 472100 65.0925 -16.388 2.81055 
2009 4 1 4 23 22 20 322800 65.1728 -16.4414 16.5557 
2009 4 1 4 23 50 18 32299 65.1152 -16.8533 0.852539 
2009 4 1 4 23 50 20 503000 65.0329 -16.4904 3.71387 
2009 4 1 4 23 53 55 926600 65.1173 -16.854 0.920898 
2009 5 1 5 2 23 9 864929 65.0931 -16.3873 3.00098 
2009 5 1 5 3 8 19 82999 65.1241 -16.8509 0.950195 
2009 5 1 5 4 35 13 637600 65.1278 -16.8502 1.28223 
2009 5 1 5 4 38 5 589500 65.0717 -16.2617 6.01855 
2009 5 1 5 4 47 13 856799 65.0693 -16.2611 6.15527 
2009 5 1 5 5 30 0 817763 65.071 -16.2639 6.06738 
2009 5 1 5 5 59 26 220900 65.0709 -16.2589 5.84277 
2009 5 1 5 6 37 30 652200 65.0712 -16.263 5.78418 
2009 5 1 5 8 14 52 652400 65.0715 -16.2638 5.47168 
2009 5 1 5 8 27 41 455599 65.0928 -16.6268 24.002 
2009 5 1 5 10 22 55 63699 65.1985 -16.2757 4.91504 
2009 5 1 5 11 51 15 274900 65.0795 -16.2692 5.22754 
2009 5 1 5 11 52 35 199599 65.0773 -16.2682 5.28613 
2009 5 1 5 12 25 53 526000 65.1934 -16.2683 3.19629 
2009 5 1 5 13 52 42 118200 65.0758 -16.2543 5.9502 
2009 5 1 5 14 46 15 42099 65.0905 -16.4195 3.1084 
2009 5 1 5 14 46 33 200000 65.0897 -16.4179 5.15918 
2009 5 1 5 15 31 50 764400 65.0063 -16.6616 3.00098 
2009 5 1 5 16 14 2 578520 65.0102 -16.6592 2.97168 
2009 5 1 5 18 8 0 768870 65.116 -16.4058 4.16309 
2009 5 1 5 18 13 40 316600 65.1209 -16.8678 2.74707 
2009 5 1 5 18 19 49 605299 65.1216 -16.8594 1.14551 
2009 5 1 5 18 19 56 154699 65.12 -16.8685 2.36133 
2009 5 1 5 18 22 0 56825 65.1159 -16.8632 1.34082 
2009 5 1 5 18 48 12 760099 65.1174 -16.3928 5.11035 
2009 5 1 5 19 30 59 989699 65.0783 -16.2507 5.71582 
2009 5 1 5 19 54 48 44600 65.1988 -16.285 4.49023 
2009 5 1 5 20 17 14 246399 65.0733 -16.2773 5.38379 
2009 5 1 5 20 32 0 938046 65.1981 -16.2803 4.54395 
2009 5 1 5 20 41 55 831200 65.0822 -16.2478 5.46191 
2009 5 1 5 21 24 7 430310 65.0138 -16.6793 2.5957 
2009 5 1 5 22 40 53 242699 65.0349 -16.7658 2.67871 
2009 5 1 5 22 42 37 71800 65.0711 -16.4636 4.60254 
2009 5 1 5 23 3 8 494999 65.1288 -16.3393 3.14746 
2009 5 1 5 23 33 34 145899 65.1284 -16.3493 3.0498 
2009 5 1 5 23 46 26 225000 65.0781 -16.4621 2.54199 
2009 6 1 6 0 37 7 283730 65.1254 -16.3515 2.41992 
2009 6 1 6 1 22 8 270210 65.0804 -16.2706 8.86523 
2009 6 1 6 2 56 0 462348 65.018 -16.6721 2.43457 
2009 6 1 6 8 14 23 817699 65.0792 -16.4633 2.64941 
2009 6 1 6 9 43 43 67399 65.0846 -16.2649 5.84277 
2009 6 1 6 9 43 59 610199 65.0867 -16.6601 13.6602 
2009 6 1 6 9 47 40 270600 65.0863 -16.632 13.8945 
2009 6 1 6 10 13 24 244800 65.0776 -16.2802 5.6377 
2009 6 1 6 10 45 58 90699 65.0796 -16.4703 3.75293 
2009 6 1 6 11 1 26 326399 65.078 -16.4632 2.5957 
2009 6 1 6 11 4 51 951200 65.0781 -16.4681 2.0293 
2009 6 1 6 11 4 59 329500 65.0813 -16.4643 2.47363 
2009 6 1 6 11 6 55 217700 65.078 -16.4648 2.32227 
2009 6 1 6 12 0 14 467299 65.0814 -16.2603 5.56934 
2009 6 1 6 12 17 43 483699 65.0797 -16.4628 2.59082 
2009 6 1 6 14 23 15 381100 65.0901 -16.4556 6.84863 
2009 6 1 6 15 11 52 34599 65.1172 -16.399 4.60254 
2009 6 1 6 15 30 38 802100 65.0772 -16.4713 3.7334 
2009 6 1 6 16 2 21 447800 65.1146 -16.4001 4.17285 
2009 6 1 6 16 19 40 686399 65.0782 -16.4646 2.4541 
2009 6 1 6 17 48 42 807999 65.0805 -16.238 5.54004 
2009 6 1 6 18 1 42 233800 65.0933 -16.3367 1.38965 
2009 6 1 6 18 38 12 49699 65.1159 -16.3983 4.82715 
2009 6 1 6 18 54 24 80999 65.0144 -16.6617 3.19629 
2009 6 1 6 19 1 23 210899 65.0922 -16.3492 0.481445 
2009 6 1 6 19 7 16 23900 65.1153 -16.4048 5.1543 
2009 6 1 6 19 8 11 165800 65.1165 -16.4012 4.08496 
2009 6 1 6 19 52 10 158500 65.1177 -16.399 5.11035 
2009 6 1 6 19 57 44 919600 65.117 -16.4044 4.58301 
2009 6 1 6 20 5 13 213599 65.1153 -16.3959 4.50488 
2009 6 1 6 21 30 43 895499 65.1549 -16.3022 6.22363 
2009 6 1 6 22 22 44 724200 65.0801 -16.2677 5.53516 
2009 6 1 6 22 31 40 926699 65.1154 -16.4013 3.9873 
2009 6 1 6 23 0 31 271300 65.0923 -16.3473 0.583984 
2009 6 1 6 23 4 14 575699 65.1401 -16.9593 5.61816 
2009 6 1 6 23 39 3 816900 65.0795 -16.2593 5.11035 
2009 6 1 6 23 43 26 960699 65.1212 -16.3947 4.05078 
2009 6 1 6 23 57 43 809800 65.1148 -16.425 3.15723 
2009 7 1 7 0 1 26 736899 65.1163 -16.4074 3.99707 
2009 7 1 7 1 14 25 99900 65.1458 -16.3547 4.25098 
2009 7 1 7 1 15 54 789600 65.1477 -16.3541 4.46582 
2009 7 1 7 1 21 49 990600 65.1409 -16.3697 3.71387 
